user_id,birth_year,age,gender,user_type
286,1997,22,Other,Customer
287,1972,47,Other,Subscriber
288,1977,42,Other,Customer
289,1959,60,Female,Customer
290,1947,72,Male,Customer
291,1944,75,Male,Subscriber
292,1964,55,Other,Customer
293,1998,21,Other,Customer
294,1952,67,Other,Subscriber
295,1971,48,Other,Customer
296,1947,72,Female,Customer
